Stock quote and option quote for ABNB on 3/13/22 23:37:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
145.14,Q,-6.66,144.51,P,145.18,P,1 x 1,"4,577,255",154.13,155.00,145.00

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
"208,903",<empty>,-254.6,<empty>,--,,215.49,129.71,"633,672,940",1.346

18 MAR 22  (5)  100
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.55,.01,-.14,.21,0,0, ,63.49%,12.90,B,13.60,Z,29 APR 22,145,12.75,X,13.25,X,-.45,.01,-.14,.21,13,10.80,M,62.98%,,
,,.49,.01,-.14,.21,1,13.91,I,63.41%,10.75,B,11.45,Z,29 APR 22,150,15.20,X,15.95,B,-.51,.01,-.14,.21,65,12.65,X,61.60%,,
,,.43,.01,-.14,.20,50,9.66,X,61.96%,8.75,X,9.15,B,29 APR 22,155,18.30,X,18.85,X,-.57,.01,-.13,.20,5,15.20,Q,60.88%,,
,,.37,.01,-.13,.20,2,8.60,N,60.86%,6.95,X,7.35,X,29 APR 22,160,21.55,X,22.30,X,-.63,.01,-.13,.20,2,19.70,X,60.53%,,
,,.31,.01,-.12,.18,38,8.60,N,59.80%,5.45,X,5.80,A,29 APR 22,165,24.80,X,25.80,X,-.69,.01,-.11,.18,0,0, ,58.98%,,
,,.26,.01,-.11,.17,135,6.75,Q,59.65%,4.25,X,4.75,B,29 APR 22,170,27.85,Z,29.45,X,-.75,.01,-.10,.16,79,27.55,J,55.71%,,
,,.22,.01,-.10,.15,32,5.50,P,59.03%,3.30,Q,3.70,B,29 APR 22,175,32.55,X,33.85,Z,-.78,.01,-.10,.15,81,31.40,W,58.51%,,

20 MAY 22  (68)  100

17 JUN 22  (96)  100
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.76,.01,-.08,.23,210,37.11,J,67.74%,33.15,X,33.85,B,17 JUN 22,120,7.80,D,7.95,B,-.23,.01,-.08,.23,"3,756",7.41,E,65.63%,,
,,.73,.01,-.09,.25,734,24.65,D,66.18%,29.80,X,30.20,C,17 JUN 22,125,9.40,D,9.85,B,-.27,.01,-.08,.25,"5,706",8.80,Q,65.25%,,
,,.69,.01,-.09,.26,312,31.80,D,65.12%,26.60,Q,27.00,I,17 JUN 22,130,11.20,A,11.35,Z,-.31,.01,-.09,.26,"3,551",11.25,N,63.68%,,
,,.65,.01,-.09,.28,347,26.50,Z,64.61%,23.70,X,24.20,M,17 JUN 22,135,12.70,X,13.45,B,-.35,.01,-.09,.28,"6,074",12.23,X,61.98%,,
,,.61,.01,-.09,.29,"1,008",21.65,Q,62.76%,20.60,X,21.25,D,17 JUN 22,140,15.35,X,15.80,X,-.39,.01,-.09,.29,"2,878",15.25,I,62.07%,,
,,.57,.01,-.10,.29,589,18.65,Q,63.08%,18.45,X,19.00,X,17 JUN 22,145,17.75,X,18.15,Q,-.44,.01,-.09,.29,"1,409",16.65,B,60.96%,,
,,.52,.01,-.10,.30,"1,759",16.30,Q,61.58%,16.05,X,16.35,B,17 JUN 22,150,20.45,X,20.80,Q,-.48,.01,-.09,.30,"2,338",20.30,I,60.19%,,
,,.48,.01,-.09,.30,"1,509",14.45,Q,61.02%,13.80,X,14.50,X,17 JUN 22,155,23.40,X,23.70,Q,-.52,.01,-.09,.30,"1,280",23.55,M,59.56%,,
,,.44,.01,-.09,.29,519,12.20,M,60.31%,12.10,J,12.40,X,17 JUN 22,160,26.25,X,27.00,X,-.57,.01,-.09,.29,"1,799",29.45,N,58.79%,,
,,.40,.01,-.09,.29,746,10.55,Q,59.73%,10.35,M,10.80,X,17 JUN 22,165,29.70,X,30.05,X,-.61,.01,-.09,.28,825,32.25,W,57.95%,,
,,.35,.01,-.08,.28,"1,785",9.40,Z,58.79%,8.70,X,9.25,B,17 JUN 22,170,33.00,X,33.55,X,-.65,.01,-.08,.27,"3,115",33.35,E,57.01%,,
